,image_id,question,question_id
67,131075,What is on the display?,131075010
68,131075,Is there a laptop in the image?,131075011
69,131075,Is it a monitor or a screen projection?,131075012
70,131075,What is on the TV screen?,131075013
71,131075,What is the title of the presentation in the picture?,131075014
72,137045,What color is the bear?,137045000
73,137045,Is the animal a mammal?,137045001
74,137045,What is this?,137045002
75,131093,Are there rocks in the picture?,131093000
76,131093,Has the sheep recently been shaved?,131093001
77,131093,How many sheeps are this?,131093002
78,131093,Are there three sheep?,131093003
79,524311,What is the man playing?,524311000
80,524311,Is the man having a good time?,524311001
81,524311,What does the man have on his face?,524311002
82,25,What is in front of the giraffes?,25000
83,25,What do these giraffes have in common?,25001
84,25,Could this photo be from a zoo?,25002
85,25,Are the animals eating?,25003
86,25,Where is the giraffe?,25004
87,25,Is there a zebra?,25005
88,25,What is the giraffe standing behind?,25006
89,25,Is the giraffe eating the tree?,25007
90,25,Are both giraffes standing?,25008
91,25,Are they at a zoo?,25009
92,25,What is on the ground next to the giraffe on the right?,25010
93,25,Are some of the trees dead?,25011
94,25,Are any of the animals eating?,25012
95,25,Is the giraffe in the shade?,25013
96,25,Are these giraffes living free range?,25014
97,25,How many giraffes are there?,25015
98,25,Is there a rock near the giraffe?,25016
99,25,How many animals are in this photo?,25017
100,524314,Why is the man on the street?,524314000
101,524314,How is the man sitting?,524314001
102,524314,"What does the word in the upper-left corner, behind the window, translate to in English?",524314002
103,262171,How many people are on the boat?,262171000
104,262171,What color are the leaves?,262171001
105,262171,What type of watercraft is that?,262171002
106,262172,Where are the two blue coolers?,262172000
107,262172,What kind of room is this?,262172001
108,262172,Are they moving?,262172002
109,131101,What color is the umbrella?,131101000
110,131101,Is this man angry?,131101001
111,131101,Which hand holds the umbrella?,131101002
112,30,Are there flowers in the vase?,30000
113,30,What is the vase sitting on?,30001
114,30,Is the sun to the right or left of this flower?,30002
115,30,Are the flowers open?,30003
116,30,What color is the vase?,30004
117,30,Are all the flowers white?,30005
118,524320,Is the man standing on both foot?,524320000
119,524320,Was this picture likely taken recently?,524320001
120,524320,Do the gentleman's socks match his shoes and belt?,524320002
121,240304,What is the zebra eating?,240304000
122,240304,Are the zebras facing the same direction?,240304001
123,240304,What is the tree covered with?,240304002
124,34,Is this a horse?,34000
125,34,What is the animal eating?,34001
126,34,How old is animal?,34002
127,393251,Are they drinking wine at the child's party?,393251000
128,393251,Is the man wearing glasses?,393251001
129,393251,What is the man holding?,393251002
130,393251,What is the man cutting?,393251003
131,262180,What is the fruit?,262180000
132,262180,Is this a good dessert?,262180001
133,262180,What is the name of the type of person that would make this food?,262180002
134,262180,What type of ice cream is on the plate?,262180003
135,524325,How many people are wearing shorts in the forefront of this photo?,524325000
136,524325,Is this an indoor or outdoor photo?,524325001
137,524325,Are those kites in the air?,524325002
138,43697,Is this a hot dog?,43697000
139,43697,What color is the napkin?,43697001
140,43697,Is there ketchup on the hot dog?,43697002
141,43697,Has this hot dog been grilled?,43697003
142,43697,Have you tried a hot dog like this before?,43697004
143,43697,What's missing from this hot dog?,43697005
144,43697,What is the hog dog sitting on?,43697006
145,262184,Is this a toy-sized truck?,262184000
146,262184,What is the sky full of?,262184001
147,262184,Where are the trucks?,262184002
148,131113,What is the color of the carpet?,131113000
149,131113,Is there a carpet on the floor?,131113001
150,131113,What color is the refrigerator?,131113002
151,131113,What is this device?,131113003
152,262187,Is this plane landing?,262187000
153,262187,What color is the plane?,262187001
154,262187,What shape are the windows on the side of the plane?,262187002
155,262187,Is the plane taking off?,262187003
156,131118,Are these airliners?,131118000
157,131118,How many planes are in the picture?,131118001
158,131118,Are this cargo planes?,131118002
159,262191,Is this bear a normal size?,262191000
160,262191,What is the website on the sign?,262191001
161,262191,What is the bear called?,262191002
162,49,Is there a flower arrangement on the lawn?,49000
163,49,What color horse is closer to the camera?,49001
164,49,Are they playing polo?,49002
165,524338,How many trees are in this photo?,524338000
166,524338,What type of tree is the man standing next to?,524338001
167,524338,Is this man reading a cell phone screen?,524338002
168,213863,What pattern is on the pants?,213863000
169,213863,What sport is this person playing?,213863001
170,213863,What is the position of the player behind the batter called?,213863002
171,393268,What color is the girl's shirt?,393268000
172,393268,What are they drinking?,393268001
173,393268,What brand of beer is visible?,393268002
174,131126,Where is Brooklyn Avenue?,131126000
175,131126,Which direction is Brooklyn Ave?,131126001
176,131126,Is there a stop sign in the picture?,131126002
177,131127,What logo is on the man's shirt?,131127000
178,131127,Is the man unhappy?,131127001
179,131127,Are the men going to share the bananas?,131127002
180,131128,What color are the flowers?,131128000
181,131128,What colors are the flowers?,131128001
182,131128,How many flowers are painted on the vase?,131128002
183,131128,Do the painted flowers match the real ones?,131128003
184,262201,Where is the bird?,262201000
185,262201,Will the birds go into the water?,262201001
186,262201,What direction is the bird looking?,262201002
187,262201,Is this bird afraid of the ledge?,262201003
188,370986,What time of day is it?,370986000
189,370986,How many elephants are in the water?,370986001
190,370986,How many tails can you see in this picture?,370986002
191,262204,How many tusks are visible?,262204000
192,262204,What is this animal?,262204001
193,262204,What color is the animal?,262204002
194,131133,What color is the plane?,131133000
195,131133,What type of plane is this?,131133001
196,131133,Are the mountains high?,131133002
197,262207,What color are the seats?,262207000
198,262207,Is there a person standing in front of the television?,262207001
199,262207,Where is the mirror?,262207002
200,262207,Is there enough room under the armchairs for a cat to hide?,262207003
201,64,Who made the cock?,64000
202,64,Are there numbers on the clock face?,64001
203,64,Is there a big tree behind the clock?,64002
204,64,What is in the picture?,64003
205,64,What time is the clock showing?,64004
206,458763,What are the vases sitting on?,458763000
207,458763,How many trees on the table?,458763001
208,458763,How many horns are in the picture?,458763002
209,458763,What color is the middle vase?,458763003
210,458763,What is the table made of?,458763004
211,458763,What kind of trees are on the table?,458763005
212,458763,Is this a wedding?,458763006
213,567990,What is the green stuff on this pizza?,567990000
214,567990,Does the crust look burnt?,567990001
215,567990,Is it thick or thin crust?,567990002
216,567990,Does this pizza have a deep dish crust?,567990003
217,393286,Is the banana freshly peeled?,393286000
218,393286,Is the banana closed?,393286001
219,393286,What is the orange thing?,393286002
220,71,Does this photo show train tracks?,71000
221,71,Does this train work?,71001
222,71,Is this train headed towards or from the orange building?,71002
223,72,How many Giraffes are in this image?,72000
224,72,What is the giraffe eating?,72001
225,72,Are the giraffes under the trees?,72002
226,393228,Are there 3 elephants?,393228000
227,393228,Are all of the elephants full grown?,393228001
228,393228,Are the elephants in the jungle?,393228002
229,393290,What is on the woman's neck?,393290000
230,393290,Is the woman eating the pizza?,393290001
231,393290,How many stairs are there?,393290002
232,393291,Where is the sink located?,393291000
233,393291,Where is the soap?,393291001
234,393291,What color is the window frame?,393291002
235,393291,What item is folded up and sitting on the edge of the shower stall?,393291003
236,393291,What pattern is on the shower curtain?,393291004
237,393291,What are the colors of the countertop?,393291005
238,393291,Are there any reflections in this picture?,393291006
239,393291,How many windows are there?,393291007
240,393292,Is the water on?,393292000
241,393292,Is this photo outdoors?,393292001
242,393292,How many birds are in the sink?,393292002
243,262221,What is the person on the right called?,262221000
244,262221,Whose logo is on the official's chair?,262221001
245,262221,How many tennis players are in the photo?,262221002
246,78,Are the clock and owl made in the same artistic fashion?,78000
247,78,Is that owl a candle?,78001
248,78,What time does the clock say?,78002
249,81,Does this planes tail have 4 colors?,81000
250,81,Is this plane landing?,81001
251,81,Is this plane taking off?,81002
252,81,What is the last letter over the plane?,81003
253,81,Are these wings strong?,81004
254,86,Is that a bicycle?,86000
255,86,What is the number on the mailbox?,86001
256,86,What is this person wearing on head?,86002
257,524375,Is this a cow farm?,524375000
258,524375,What are the animals doing?,524375001
259,524375,What breed of livestock is shown?,524375002
260,524375,How many black sheep are there?,524375003
261,524375,What game would you play when you saw this as a child?,524375004
262,524375,Where is the human?,524375005
263,524375,Is this a prairie?,524375006
264,524375,Is there a village in the background?,524375007
265,131160,What color is the sign?,131160000
266,131160,Would you be able to find a mosque in this city?,131160001
267,131160,What language is the sign written in?,131160002
268,524377,How has the cheese been prepared?,524377000
269,524377,Is there ketchup?,524377001
270,524377,How many lunches is this?,524377002
271,524377,Is the hotdog well seasoned?,524377003
272,524377,What kind of food is shown?,524377004
273,524377,What is the cutting board used for in this scene?,524377005
274,524377,Of what meal is this kind of food typical?,524377006
275,524377,Is this a healthy meal?,524377007
276,524377,What kind of sauce is in the largest ramekin?,524377008
277,524377,What type of food is shown?,524377009
278,524377,What is the topping on the hot dog?,524377010
279,524377,What topping is on the hot dog?,524377011
280,524377,What is in the small container?,524377012
281,524377,What are the components of this dish?,524377013
282,524377,What kind of toppings are on the hot dogs?,524377014
283,524377,Is there a spoon in this photo?,524377015
284,524377,Is this breakfast?,524377016
285,524377,How delicious does this look?,524377017
286,524377,What two vegetables are in the white bowl?,524377018
287,524377,How many hot dogs are shown?,524377019
288,524377,What type of filling is in the dish on the bottom left?,524377020
289,524377,What color is the tray?,524377021
290,524377,How many pickle spears are there?,524377022
291,524377,What is the yellow stuff in a bowl?,524377023
292,524377,How many people are eating this hotdog?,524377024
293,524377,Is there a drink in this picture?,524377025
294,524377,What is the hot dog sitting on top of?,524377026
295,524377,How many sauces are there?,524377027
296,524377,What are the orange things?,524377028
297,524377,Are the carrots diced or cut long ways?,524377029
298,524377,Do these hot dogs look like they taste good?,524377030
299,524377,Are those tomatoes on the sandwich?,524377031
300,524377,What is in the cup?,524377032
301,524377,What is the orange root called?,524377033
302,524377,What is the blackened meat on the bread?,524377034
303,524377,What kind of meat is this?,524377035
304,524377,What is on the sandwich?,524377036
305,524377,Are the fries plain?,524377037
306,524377,Does this breakfast dish primarily carbohydrates?,524377038
307,524377,Has someone started eating?,524377039
308,524377,What animal is on the plate?,524377040
309,524377,Would this be good for dessert?,524377041
310,524377,Is there a butter plate on the table?,524377042
311,524377,Does this have lettuce?,524377043
312,524377,Does the food look good?,524377044
313,524377,Is this meat?,524377045
314,524377,What is on the hotdog?,524377046
315,524377,What two vegetables can be seen on the pizza?,524377047
316,524377,Would this typically be eaten for breakfast?,524377048
317,524377,Is that bacon from a delicatessen?,524377049
318,524377,What condiment is on the potatoes?,524377050
319,524377,How many kinds of meat products are here?,524377051
320,524377,What sauces are shown?,524377052
321,524377,What kind of potato are the fries?,524377053
322,524377,What is mainly featured?,524377054
323,393306,Is the man wearing formal clothes?,393306000
324,393306,What kind of plants are these?,393306001
325,393306,What is the pattern on the vase?,393306002
326,393306,Which hand is the man holding up?,393306003
327,262159,Is there a deodorant on the sink?,262159000
328,262159,Is there a full roll of toilet paper in the bathroom?,262159001
329,262159,How many rolls of toilet paper are on the toilet tank?,262159002
330,262159,Would someone be able to watch you change from the outside?,262159003
331,262159,What color is the bathroom?,262159004
332,262159,Does the shower have a glass door?,262159005
333,262159,What is the primary color of the bathroom?,262159006
334,262159,What color is the wall?,262159007
335,262159,Is the towel rack silver?,262159008
336,262159,Is there a shower curtain?,262159009
337,262159,What color are the bathroom walls?,262159010
338,262159,Where is the light coming from?,262159011
339,262159,Is the toilet lid down?,262159012
340,92,How many layers are in this cake?,92000
341,92,Does this cake look like it chocolate?,92001
342,92,How many people can eat this cake?,92002
343,94,What is printed on the orange sign?,94000
344,94,What is the name of the hotel?,94001
345,94,How many vehicles are shown?,94002
346,94,What mode of transportation is pictured?,94003
347,94,Is this a small town?,94004
348,393311,Will these planes be used to transport people?,393311000
349,393311,What airline is this?,393311001
350,393311,The plane's stand resembles what letter?,393311002
351,393311,What type of plane is this?,393311003
352,393311,What is written on the picture?,393311004
353,393311,What shipping company is represented in the scene?,393311005
354,393311,What airline is this plane from?,393311006
355,393311,What kind of aircraft is this?,393311007
356,393311,How does the man get down from the machine?,393311008
357,524386,Is the room carpeted?,524386000
358,524386,Where is the television?,524386001
359,524386,Is there a fireplace?,524386002
360,524386,Are stains on the floor?,524386003
361,524386,How many lamps are there?,524386004
362,524386,What is the picture of on wall?,524386005
363,524386,What is on the carpet?,524386006
364,524386,How many lamps are in the room?,524386007
365,524386,Are these boys at home?,524386008
366,524386,What kind of lamp is on the floor?,524386009
367,524386,Is this a 60's motif?,524386010
368,524386,How many pictures on the wall?,524386011
369,524386,Which floor lamp is not lit?,524386012
370,524386,How many TVs are on?,524386013
371,524386,What color is the sofa?,524386014
372,524386,How many pictures are on the wall?,524386015
373,131172,How many men in the picture are wearing sunglasses?,131172000
374,131172,What kind of hat is the man with the girls wearing?,131172001
375,131172,What color is the man's shirt in the front of the photo?,131172002
376,131172,What are the ladies doing?,131172003
377,393317,Where is the street sign?,393317000
378,393317,Where are the women walking?,393317001
379,393317,Is the light green?,393317002
380,393317,What is written on the street?,393317003
381,393317,Is it raining?,393317004
382,393317,Urban or suburban?,393317005
383,393317,Where is the woman standing?,393317006
384,393317,How many people can be seen?,393317007
385,393317,What type of vehicle is on the left?,393317008
386,393317,Is this woman crossing a street?,393317009
387,393317,What color is the traffic signal?,393317010
388,393317,What is being held green?,393317011
389,393317,What time of day is it?,393317012
390,393317,Is this in the United States?,393317013
391,393317,How many green lights are there?,393317014
392,131174,How many lights does the plane have?,131174000
393,131174,How many planes are in this photo?,131174001
394,131174,Is there anyone in the cockpit?,131174002
395,546151,What country name is written as the highest word on the bus?,546151000
396,546151,Is the bus stopped?,546151001
397,546151,How many people are standing in this image?,546151002
398,21826,What is the skier standing on?,21826000
399,21826,How many poles is the person holding?,21826001
400,21826,What is the person doing?,21826002
401,109,Is this an ocean area?,109000
402,109,How many bodies of water are in this scene?,109001
403,109,How many light post is there?,109002
404,109,Is the ground near the waterfront squishy?,109003
405,109,What infrastructure would one drive on to go perpendicular to the water?,109004
406,109,Is the water calm?,109005
407,110,What color is the woman's sweater?,110000
408,110,Is this a cheese pizza?,110001
409,110,What pizza topping is this?,110002
410,305853,What is in the vase next to the flowers?,305853000
411,305853,Is there more than one vase on the table?,305853001
412,305853,Are these flowers real or silk?,305853002
413,305853,England's Queen mother and these blooms share what syllable?,305853003
414,113,How many people are in the picture?,113000
415,113,What color are the chairs?,113001
416,113,What kind of celebration is this?,113002
417,113,What emblem is on the cake?,113003
418,113,Are they outside or in?,113004
419,113,Is there a cake here?,113005
420,113,Are there any pens on the table?,113006
421,113,What are the initials on the cake?,113007
422,262260,Why are the birds only appearing as black silhouettes?,262260000
423,262260,How many pigeons are there?,262260001
424,262260,Is this image tilted?,262260002
425,262261,What utensil is in the pan?,262261000
426,262261,What is the red vegetable in the clear dish?,262261001
427,262261,Does this image contain a pie pan?,262261002
428,131190,Is this a large house?,131190000
429,131190,Is there a fountain in front of the building?,131190001
430,131190,Is the sun shining?,131190002
431,131190,What color is the building?,131190003
432,131190,Is this a church?,131190004
433,131190,What tree is on the left?,131190005
434,131190,Are there clouds visible?,131190006
435,131190,Is this a sunny day?,131190007
436,131190,What is the material right around the clock?,131190008
437,131190,What color are the flowers?,131190009
438,131190,How many bells are there?,131190010
439,131190,How tall is this building?,131190011
440,131190,What materials are on the roof?,131190012
441,131190,How many clock faces does this building have?,131190013
442,131190,Are the hedges well-groomed?,131190014
443,131190,Does the building in the back have an elevator?,131190015
444,131190,What is in gold at the top of the building?,131190016
445,131190,Do you a phone booth?,131190017
446,131190,What color is the clock tower in this photo?,131190018
447,131190,What are on both side of the building?,131190019
448,131190,What is around the tree?,131190020
449,131190,Are the buildings tall?,131190021
450,131190,How many flags are by the building's entrance?,131190022
451,131190,Is the clock between two arches?,131190023
452,131190,Are there any entrance gates at the bottom of the tower?,131190024
453,131190,Is the building a high rise?,131190025
454,131190,Is part of this tower made of wood?,131190026
455,131190,Can the tree tell time?,131190027
456,131190,How many windows are shown?,131190028
457,131190,How many windows are pictured?,131190029
458,131190,Is the emblem a sun face clock?,131190030
459,131197,What is the woman doing in this photo?,131197000
460,131197,What are the sheep standing on?,131197001
461,131197,What is the woman feeding the animal?,131197002
462,131197,How many sheep can you see?,131197003
463,131197,Is the ram's fleece dirty?,131197004
464,127,Is there a travel guide on the table?,127000
465,127,What color plate is this?,127001
466,127,What type of silverware is on the plates?,127002
467,262273,What color are the skis?,262273000
468,262273,Is there snow?,262273001
469,262273,What is the man holding in his left hand?,262273002
470,262273,What is the color of the zipper?,262273003
471,262273,Are the boots a solid color or patterned?,262273004
472,262273,How many people are there?,262273005
473,262273,Is it summer?,262273006
474,262273,What color is the man's hat?,262273007
475,262273,How many people are in the image?,262273008
476,524420,What color is the woman's shorts?,524420000
477,524420,Is the picture in color?,524420001
478,524420,Is there a dog in the photo?,524420002
479,524420,Is the dog on a leash?,524420003
480,524420,What are the people doing in the street?,524420004
481,436929,What is floating near the bird?,436929000
482,436929,Are all of the birds in flight?,436929001
483,436929,How many birds are there?,436929002
484,436929,Are there three birds in the picture?,436929003
485,436929,Is this a dog?,436929004
486,436929,Is this a winter scene?,436929005
487,436929,Is the water frozen?,436929006
488,131208,Why are there so many clothes on the bed?,131208000
489,131208,Is that a laptop on the chair?,131208001
490,131208,What color is the girl's hair?,131208002
491,284012,What brand of soda is advertised?,284012000
492,284012,Is Cingular a sponsor of this field?,284012001
493,284012,What Mexican food restaurant chain is advertised?,284012002
494,284012,How is the turnout?,284012003
495,284012,How many men are playing baseball?,284012004
496,284012,What is the large sculpture next to the oversized cola bottle?,284012005
497,284012,What color is the catcher's pants?,284012006
498,138,How many pots are hanging under the shelf?,138000
499,138,What time is it?,138001
500,138,Is this a conventional kitchen?,138002
501,262283,What color flowers are on the top right?,262283000
502,262283,Is the area lit?,262283001
503,262283,Where was this shot at?,262283002
504,262283,Are the vases identical?,262283003
505,524428,Are these the normal size pieces of pizza?,524428000
506,524428,Could you eat all of this pizza?,524428001
507,524428,Is there broccoli on a slice of pizza?,524428002
508,524428,What color is the cloth?,524428003
509,262285,How many zebras are there?,262285000
510,262285,What continent might this be?,262285001
511,262285,Is there an animal that seems to stick out?,262285002
512,262285,Is this in a zoo?,262285003
513,262285,Is this in a desert?,262285004
514,142,What type of fruit is on the plate?,142000
515,142,Is this a banana toast?,142001
516,142,What color is the milk carton?,142002
517,131215,Are the people playing a game?,131215000
518,131215,Is the TV turned on?,131215001
519,131215,Is this person watching a movie?,131215002
520,131215,What is in the blue chair?,131215003
521,131215,What type of footwear is the person wearing?,131215004
522,144,What are the animals doing?,144000
523,144,Is one of the giraffes eating?,144001
524,144,What type of animal is in the picture?,144002
525,393362,Is it daytime?,393362000
526,393362,Are the kickstands down?,393362001
527,393362,Do you see any motorcycle helmets?,393362002
528,149,Is the kite high in the air?,149000
529,149,Is the sky clear?,149001
530,149,What color is the building?,149002
531,149,Are the people flying kites?,149003
532,149,Which buses are double deckers?,149004
533,149,What kind of court is at the edge of the field?,149005
534,471373,Can you see any fish?,471373000
535,471373,Is this man swimming?,471373001
536,471373,Is he turning?,471373002
537,471373,Does the man have short hair?,471373003
538,471373,What is this man laying on?,471373004
539,109986,What color is this girl's shirt?,109986000
540,109986,What color is the girls hot dog?,109986001
541,109986,What color are the girl's lips?,109986002
542,131225,What does the front of the bus say at the top?,131225000
543,131225,Is the bus featured in this picture typical?,131225001
544,131225,What color is the school bus?,131225002
545,131225,Is this the latest make and model?,131225003
546,131225,What color is the bus?,131225004
547,131225,Are there any building in the area?,131225005
548,154,Is there a fence in the background?,154000
549,154,How many zebras can you see eating?,154001
550,154,How many kinds of animals are in this photo?,154002
551,154,Is the zebra's tail up?,154003
552,154,How many different types of animals are in this scene?,154004
553,154,What direction are the animals heading?,154005
554,154,Are they the same type of animal?,154006
555,154,Is the zebra walking or standing still?,154007
556,154,Are all zebras facing the same way?,154008
557,154,How many animals are there?,154009
558,154,Are the zebras running?,154010
559,154,Who is in the photo?,154011
560,154,Number of animals?,154012
561,262299,Is he going to fall?,262299000
562,262299,What color are the stakes in the dirt?,262299001
563,262299,What color shirt is the man standing in the background wearing?,262299002
564,393242,How many arrows can be seen?,393242000
565,393242,How many stripes are at the bottom of the picture?,393242001
566,393242,Are the traffic lights facing the same direction?,393242002
567,393375,Is this cake made with fondant?,393375000
568,393375,Where is the cupcake?,393375001
569,393375,What is on the plate?,393375002
570,393375,What are the pink pieces of paper called?,393375003
571,393379,What kind of nut is shown?,393379000
572,393379,What is the green stuff?,393379001
573,393379,Is this a finger food or dish?,393379002
574,262308,What ICING IS USED ON THIS CAKE?,262308000
575,262308,Is there a fork on the plate?,262308001
576,262308,Is this black and white?,262308002
577,262308,What is the figure on the cupcake?,262308003
578,262308,What flavor is the cupcake?,262308004
579,165,What is the woman doing?,165000
580,165,Is a military person in the picture?,165001
581,165,Are they smiling?,165002
582,415089,How many potted plants do you see?,415089000
583,415089,How many chairs are there?,415089001
584,415089,Is this an old building?,415089002
585,415089,What room is this?,415089003
586,415089,Is the room almost full?,415089004
587,393384,Where was this picture taken?,393384000
588,393384,How many kids in this photo?,393384001
589,393384,Are the people on a soft surface?,393384002
590,393386,How many animals?,393386000
591,393386,What color are the majority of sheep?,393386001
592,393386,Has the grass been mowed recently?,393386002
593,131245,What kind of animals are in there?,131245000
594,131245,Is this scene in America?,131245001
595,131245,What is the boy doing?,131245002
596,137918,Are all the laptops on?,137918000
597,137918,How many laptops are on the coffee table?,137918001
598,137918,Where is the laptop?,137918002
599,393394,What animal is on the walls?,393394000
600,393394,Is this a hotel room?,393394001
601,393394,Where are the two upside down glasses?,393394002
602,393394,Is this a hotel?,393394003
603,438196,Is an elephant walking down the street?,438196000
604,438196,Is the guy in the yellow shirt wearing a tie?,438196001
605,438196,How many people are in the picture?,438196002
606,393396,Is this a church?,393396000
607,393396,Sunny or overcast?,393396001
608,393396,Is there snow in the picture?,393396002
609,393396,What is the color of the roof shingles?,393396003
610,393396,What symbol sits atop the tower?,393396004
611,393396,Is there a clock on the church tower?,393396005
612,393396,Is there a clock?,393396006
613,524470,Is this person wearing a backpack?,524470000
614,524470,Is there a street light in the photo?,524470001
615,524470,Is the sun up?,524470002
616,524471,What is the grate for?,524471000
617,524471,Is the oven on?,524471001
618,524471,Is there a window in this scene?,524471002
619,524471,What kind of siding is on this house?,524471003
620,524471,Is this toast done?,524471004
621,524471,How many knobs are there?,524471005
622,524471,Is the microwave on?,524471006
623,524471,Is the toaster on?,524471007
624,262329,What color are the flowers?,262329000
625,262329,What time is it?,262329001
626,262329,What is the brown object with a clock on it?,262329002
627,393403,How many buses are there?,393403000
628,393403,Is this a one way street?,393403001
629,393403,Are there people boarding the bus?,393403002
630,393403,What color is the bus?,393403003
631,393403,What number bus is this?,393403004
632,393403,Where is the open door?,393403005
633,393403,Is there a hardware store in the area?,393403006
634,393403,How many decks does this bus have?,393403007
635,524476,Are the drying the animal with a blow dryer?,524476000
636,524476,What color are the girls earrings?,524476001
637,524476,What is the woman holding?,524476002
638,283700,What kind of vehicle is the yellow one?,283700000
639,283700,How many windows?,283700001
640,283700,Is this a hotel?,283700002
641,262336,Can you see the man's shadow?,262336000
642,262336,Is this lacrosse?,262336001
643,262336,The color of the court is green?,262336002
644,194,What color is the plate?,194000
645,194,Who is going to eat this pizza?,194001
646,194,Is this pizza nutritious enough to eat for a full dinner?,194002
647,257513,What shape is at the bottom of the pole?,257513000
648,257513,Are both beds made?,257513001
649,257513,Is there a ladder in the picture?,257513002
650,257513,How many steps does it take to get to the top?,257513003
651,257513,What type of bed is in the picture?,257513004
652,393412,Is this vehicle parked in a residential driveway?,393412000
653,393412,Is the color of the car very common for vehicles?,393412001
654,393412,What color is the car?,393412002
655,524486,What is he cooking?,524486000
656,524486,Where are the buns?,524486001
657,524486,Why is the man cooking so many hot dogs?,524486002
658,458785,Is this a new or ancient clock?,458785000
659,458785,What time does the clock read?,458785001
660,458785,Are all the people looking at the same thing?,458785002
661,201,Do these ski boards have personality?,201000
662,201,How many ski boards are in the picture?,201001
663,201,What mountain was this taken at?,201002
664,393418,What is the black thing he is wearing?,393418000
665,393418,What kind of room is this?,393418001
666,393418,What is the man doing in the picture?,393418002
667,393419,What is the cartoon man presenting to the cartoon woman?,393419000
668,393419,What color is the sign?,393419001
669,393419,What does the sign with the white arrow say?,393419002
670,393419,Which way can you not turn?,393419003
671,393419,"What is above the ""No Left Turn"" sign?",393419004
672,131277,Is the woman wearing a dress?,131277000
673,131277,Are they playing a game?,131277001
674,131277,Will the bent person fall forward?,131277002
675,131277,Is there a man and a woman?,131277003
676,131277,Is this photo to blurry?,131277004
677,393422,Would you get a ticket if you disobeyed this sign?,393422000
678,393422,Is the red stop sign on a wooden pole?,393422001
679,393422,What is the sign says?,393422002
680,393422,Can you see the sun in the picture?,393422003
681,131279,Which baby is still an infant?,131279000
682,131279,How many blue stripes are on the babies shirt?,131279001
683,131279,Are they twins?,131279002
684,131279,Is one of the children a boy?,131279003
685,131279,How many babies are in this photo?,131279004
686,131279,Are these teenagers?,131279005
687,131279,Are both of the children smiling?,131279006
688,131279,What color is the girl's brush?,131279007
689,131279,What gender are both of the children likely to be?,131279008
690,131279,What color is the comb?,131279009
691,131279,Is this child wearing socks?,131279010
692,131279,What is the one girl doing to the other girl's hair?,131279011
693,448671,Where is the table lamp?,448671000
694,448671,Something new to wear with a men's shirt?,448671001
695,448671,Is the man's shirt a solid color?,448671002
696,393428,What is this person holding?,393428000
697,393428,What color is the table?,393428001
